"LEI"|"ISIN"
"EfOk7sdrDxpk5yU9UlHE"|"ky4Sw60d1Xno"
"q5FmnAh67NhghA7KmEb4"|"mgi5eCyfNIFI"
"2WjyjByWei1ILATFYoFp"|"ZPXopj08TZuc"
"BO8Wi2BHqOHuA416YEQv"|"2KiOgleQ2Fnr"
"NBHtUhQzyRLIUKtCGYAQ"|"BT1zqdLw9xzy"
"I4CK14R1xpvrnRSReFrt"|"1VVOz0FtqjAT"
"I4CK14R1xpvrnRSReFrt"|"7y1NFpgzhyuo"
"LC9hdaqf6gPsr1YurWe5"|"dX8xnEaUD2wA"
"gemvFp36VIQfh2WcmbQx"|"BtxxbGkOxWCO"
"gemvFp36VIQfh2WcmbQx"|"cjvJeEmGZbM0"
"x3WnjXEMy4Mw9MBVbAE2"|"S1D219NpA2dD"
"x3WnjXEMy4Mw9MBVbAE2"|"enw6Y4kZaKhg"
"I75TQNzhGx0VmQGEPbRQ"|"Bz9bdH5eojBO"
"I75TQNzhGx0VmQGEPbRQ"|"XrauwRfK8MkG"
"pLjDeureRUeUvhK9Qd1p"|"XDETOP0BKELV"
"fVCkpxBrdFgVIHO05SpH"|"3ZrHxEU0b8Ev"
"fVCkpxBrdFgVIHO05SpH"|"oL6XHWauHl5I"
"ULwZ51QHWXvYlOsMy9Zq"|"0xqUhHL5w1AT"
"ULwZ51QHWXvYlOsMy9Zq"|"OFXRgbRo0LyG"
"QJLwVOz6vSfUcdZ0ZzRZ"|"0tMkzFyEzE7X"
"ZJv2jZVGANKb61EJNFA0"|"q6VWPtUpxZuE"
"8CqJsOVw4ZAYkWlJ2rVd"|"8OevSe8f9l4T"
"8CqJsOVw4ZAYkWlJ2rVd"|"U0w4nmRz8LWk"
"3Mj22RFfrl7Gpf8B1PK7"|"V2gifUgbO8kX"
"TgqnQeE6HT8p0Vfthmlf"|"hNDF30qignGz"
"DW6V63P4CjG4zTzZhVc6"|"EDh66pISQ01E"
"DW6V63P4CjG4zTzZhVc6"|"fWKAbwg6RjEK"
"XI2r6zPoYwYpvBz4vnAh"|"LeB9dx9KxTM8"
"XI2r6zPoYwYpvBz4vnAh"|"mv4dzBHHFa4y"
"p42Sfhbu3mbxpex50EI6"|"ksXx37HuW59O"
"bJyTR7yhf6RmUJ2o0gvD"|"daPK3klU5g0Y"
